county,ecigs_sold_pct_tobacco_stores_2016,ecigs_sold_pct_tobacco_stores_2013
Alameda,0.7,0.54
Amador,0.6,0.3
Butte,0.78,0.47
Calaveras,0.64,0.43
Colusa,0.43,0.33
Contra Costa,0.65,0.52
Del Norte,0.75,0.5
El Dorado,0.75,0.58
Fresno,0.59,0.29
Glenn,0.58,0.49
Humboldt,0.76,0.4
Imperial,0.63,0.53
Inyo,0.69,0.2
Kern,0.62,0.42
Kings,0.66,0.22
Lake,0.62,0.47
Lassen,0.81,0.48
Los Angeles,0.48,0.36
Madera,0.69,0.32
Marin,0.6,0.46
Mariposa,0.42,0.29
Mendocino,0.63,0.44
Merced,0.54,0.4
Modoc,0.64,0.09
Mono,0.41,0.21
Monterey,0.52,0.31
Napa,0.67,0.55
Nevada,0.72,0.49
Orange,0.69,0.57
Placer,0.88,0.55
Plumas,0.57,0.39
Riverside,0.7,0.6
Sacramento,0.79,0.62
San Benito,0.6,0.49
San Bernardino,0.65,0.5
San Diego,0.71,0.54
San Francisco,0.38,0.24
San Joaquin,0.69,0.46
San Luis Obispo,0.89,0.69
San Mateo,0.54,0.31
Santa Barbara,0.74,0.44
Santa Clara,0.59,0.47
Santa Cruz,0.57,0.34
Shasta,0.75,0.41
Sierra,0.0,0.17
Siskiyou,0.66,0.43
Solano,0.76,0.6
Sonoma,0.72,0.61
Stanislaus,0.69,0.58
Sutter,0.71,0.59
Tehama,0.72,0.5
Trinity,0.48,0.1
Tulare,0.64,0.44
Tuolumne,0.73,0.4
Ventura,0.69,0.51
Yolo,0.74,0.46
Yuba,0.72,0.49
