county,unemployment_rate,labor_force_size
Alameda,4.7749999999999995,819016.6666666666
Amador,6.641666666666667,14316.666666666666
Butte,7.224999999999999,101058.33333333333
Calaveras,6.441666666666667,20550.0
Colusa,15.583333333333334,11052.5
Contra Costa,5.066666666666667,544625.0
Del Norte,8.599999999999998,9856.666666666666
El Dorado,5.741666666666667,87908.33333333333
Fresno,10.241666666666667,440316.6666666667
Glenn,8.783333333333333,12964.166666666666
Humboldt,5.625,62291.666666666664
Imperial,24.59166666666667,76750.0
Inyo,5.833333333333333,9082.5
Kern,10.283333333333333,390158.3333333333
Kings,10.575000000000001,57741.666666666664
Lake,7.633333333333334,29007.5
Lassen,7.2749999999999995,10761.666666666666
Los Angeles,6.683333333333334,4973750.0
Madera,10.566666666666666,59816.666666666664
Marin,3.5749999999999997,138683.33333333334
Mariposa,7.274999999999999,8011.666666666667
Mendocino,5.866666666666667,39829.166666666664
Merced,11.433333333333332,114075.0
Modoc,8.658333333333333,3302.5
Mono,6.2,8240.0
Monterey,8.258333333333333,218266.66666666666
Napa,4.6499999999999995,73725.0
Nevada,5.458333333333333,48006.666666666664
Orange,4.516666666666667,1584300.0
Placer,5.1000000000000005,176333.33333333334
Plumas,10.416666666666666,7890.833333333333
Riverside,6.733333333333333,1033458.3333333334
Sacramento,6.033333333333334,684583.3333333334
San Benito,7.608333333333333,29750.0
San Bernardino,6.491666666666666,919316.6666666666
San Diego,5.241666666666666,1548791.6666666667
San Francisco,3.6750000000000003,541416.6666666666
San Joaquin,8.941666666666666,314383.3333333333
San Luis Obispo,4.7749999999999995,138925.0
San Mateo,3.4499999999999997,434225.0
Santa Barbara,5.333333333333333,217158.33333333334
Santa Clara,4.191666666666666,1012208.3333333334
Santa Cruz,7.533333333333332,143191.66666666666
Shasta,7.824999999999999,74108.33333333333
Sierra,8.799999999999999,1362.5
Siskiyou,9.433333333333335,17882.5
Solano,6.166666666666667,204866.66666666666
Sonoma,4.508333333333334,257658.33333333334
Stanislaus,9.55,240991.66666666666
Sutter,10.758333333333333,44725.0
Tehama,7.949999999999999,25022.5
Trinity,7.858333333333334,5141.666666666667
Tulare,11.700000000000001,202125.0
Tuolumne,7.075,21533.333333333332
Ventura,5.675,427233.3333333333
Yolo,6.491666666666667,104158.33333333333
Yuba,9.358333333333334,27733.333333333332
