county,sui_rate_2012_2014,sui_age_adjusted_rate_2012_2014
Sutter,16.57,16.17
Shasta,24.07,21.94
Lassen,24.7,22.22
Alameda,9.281,8.835
Nevada,22.1,19.22
Imperial,6.631,6.798
Marin,14.19,11.91
Madera,14.65,15.43
Riverside,10.49,10.51
Yuba,15.24,15.37
Lake,26.69,24.46
Napa,12.9,12.41
Colusa,24.28,26.57
Siskiyou,25.37,23.92
El Dorado,16.85,14.8
Santa Clara,8.04,7.737
San Luis Obispo,17.76,16.04
San Mateo,7.704,7.099
Stanislaus,10.3,10.54
Plumas,21.91,19.79
Tehama,17.77,15.42
Placer,12.08,10.77
Kern,12.44,13.18
Orange,10.24,9.854
Tulare,9.577,10.26
Merced,8.675,9.511
Inyo,21.51,16.16
Tuolumne,15.79,14.2
Butte,16.02,15.62
Monterey,9.296,9.289
Mendocino,23.43,23.98
Sacramento,13.53,13.32
Ventura,11.55,11.18
Amador,33.7,27.63
Yolo,8.18,8.515
San Francisco,8.063,7.299
San Bernardino,9.711,10.14
San Diego,12.85,12.54
San Joaquin,10.74,11.16
Del Norte,24.16,22.69
Humboldt,25.96,24.72
Kings,9.118,10.01
Santa Barbara,11.41,11.08
Mariposa,29.36,32.32
Calaveras,22.89,19.99
Fresno,9.481,10.18
Contra Costa,9.73,9.341
Los Angeles,7.713,7.52
Solano,11.79,11.17
Santa Cruz,14.82,14.59
Sonoma,13.22,11.79
