county_code,county_name,cgr_16mo
1,Alameda,73.5
3,Amador,52.7
4,Butte,67.2
5,Calaveras,57.3
6,Colusa,56.5
7,Contra Costa,69.9
8,Del Norte,46.0
9,El Dorado,70.0
10,Fresno,68.8
11,Glenn,58.3
12,Humboldt,57.2
13,Imperial,69.8
14,Inyo,29.2
15,Kern,51.3
16,Kings,63.1
17,Lake,47.1
18,Lassen,53.8
19,Los Angeles,65.6
20,Madera,57.8
21,Marin,81.3
22,Mariposa,56.4
23,Mendocino,41.3
24,Merced,62.6
25,Modoc,53.6
26,Mono,35.4
27,Monterey,64.1
28,Napa,73.7
29,Nevada,41.5
30,Orange,78.3
31,Placer,77.9
32,Plumas,58.3
33,Riverside,58.2
34,Sacramento,67.4
35,San Benito,63.9
36,San Bernardino,61.0
37,San Diego,66.4
38,San Francisco,65.7
39,San Joaquin,60.9
40,San Luis Obispo,64.9
41,San Mateo,77.5
42,Santa Barbara,67.9
43,Santa Clara,78.3
44,Santa Cruz,62.9
45,Shasta,63.5
46,Sierra,39.1
47,Siskiyou,59.1
48,Solano,61.7
49,Sonoma,65.9
50,Stanislaus,62.1
51,Sutter,61.0
52,Tehama,54.1
53,Trinity,45.9
54,Tulare,61.7
55,Tuolumne,64.1
56,Ventura,77.0
57,Yolo,66.3
58,Yuba,54.7
