county,gini_coefficient,suppressed,Combined
Alameda  ,0.463,0,0
Amador,0.4612,0,1
Calaveras,0.4612,0,1
Inyo,0.4612,0,1
Mariposa,0.4612,0,1
Mono,0.4612,0,1
Tuolumne,0.4612,0,1
Butte  ,,1,0
Colusa,0.4751,0,1
Glenn,0.4751,0,1
Tehama,0.4751,0,1
Trinity,0.4751,0,1
Contra Costa  ,0.4709,0,0
"Del Norte,  Counties",0.4663,0,1
Lassen,0.4663,0,1
Modoc,0.4663,0,1
Plumas,0.4663,0,1
Siskiyou,0.4663,0,1
El Dorado  ,,1,0
Fresno  ,0.4711,0,0
Humboldt  ,,1,0
Imperial  ,0.4621,0,0
Kern  ,0.4609,0,0
Kings  ,,1,
Lake,0.4966,0,1
Mendocino,0.4966,0,1
Los Angeles  ,0.4992,0,0
Madera  ,,1,0
Marin  ,0.5315,0,0
Merced  ,,1,0
Monterey,0.4601,0,1
San Benito,0.4601,0,1
Napa  ,,1,0
Nevada,0.4638,0,1
Sierra,0.4638,0,1
Orange  ,0.4703,0,0
Placer  ,0.441,0,0
Riverside  ,0.4492,0,0
Sacramento  ,0.4558,0,0
San Bernardino  ,0.4445,0,0
San Diego  ,0.4589,0,0
San Francisco  ,0.5208,0,0
San Joaquin  ,0.452,0,0
San Luis Obispo  ,0.4658,0,0
San Mateo  ,0.4859,0,0
Santa Barbara  ,0.4811,0,0
Santa Clara  ,0.4629,0,0
Santa Cruz  ,0.4833,0,0
Shasta  ,0.4584,0,0
Solano  ,0.425,0,0
Sonoma  ,0.4657,0,0
Stanislaus  ,0.4485,0,0
Sutter,0.4534,0,1
Yuba ,0.4534,0,1
Tulare  ,0.4772,0,0
Ventura  ,0.4404,0,0
Yolo  ,0.4815,0,0
