county,sui_rate_2012_2014,sui_age_adjusted_rate_2012_2014,sui_rate_2015_2017,sui_age_adjusted_rate_2015_2017,sui_rate_avg,sui_adjusted_rate_rate_avg
Alameda,9.281,8.835,8.996,8.496,9.1385,8.665500000000002
Alpine,,,,,,
Amador,33.7,27.63,22.37,20.52,28.035000000000004,24.075
Butte,16.02,15.62,18.94,18.31,17.48,16.965
Calaveras,22.89,19.99,29.74,25.87,26.314999999999998,22.93
Colusa,24.28,26.57,,,,
Contra Costa,9.73,9.341,10.5,10.11,10.115,9.7255
Del Norte,24.16,22.69,,,,
El Dorado,16.85,14.8,17.74,17.37,17.295,16.085
Fresno,9.481,10.18,10.21,10.78,9.845500000000001,10.48
Glenn,,,29.8,28.31,,
Humboldt,25.96,24.72,22.55,22.5,24.255000000000003,23.61
Imperial,6.631,6.798,8.543,9.0,7.587,7.899
Inyo,21.51,16.16,21.44,15.7,21.475,15.93
Kern,12.44,13.18,13.33,13.96,12.885,13.57
Kings,9.118,10.01,11.34,12.2,10.229,11.105
Lake,26.69,24.46,30.18,28.78,28.435000000000002,26.62
Lassen,24.7,22.22,22.76,22.79,23.73,22.505
Los Angeles,7.713,7.52,8.175,7.87,7.944000000000001,7.695
Madera,14.65,15.43,10.69,11.04,12.67,13.235
Marin,14.19,11.91,15.07,12.52,14.629999999999999,12.215
Mariposa,29.36,32.32,33.21,33.12,31.285,32.72
Mendocino,23.43,23.98,22.49,21.25,22.96,22.615000000000002
Merced,8.675,9.511,10.39,11.33,9.5325,10.4205
Modoc,,,,,,
Mono,,,,,,
Monterey,9.296,9.289,9.147,8.998,9.221499999999999,9.1435
Napa,12.9,12.41,10.78,9.519,11.84,10.964500000000001
Nevada,22.1,19.22,20.64,17.15,21.37,18.185
Orange,10.24,9.854,9.681,9.145,9.9605,9.4995
Placer,12.08,10.77,12.86,11.78,12.469999999999999,11.274999999999999
Plumas,21.91,19.79,20.51,17.53,21.21,18.66
Riverside,10.49,10.51,11.3,11.07,10.895,10.79
Sacramento,13.53,13.32,13.05,12.73,13.29,13.025
San Benito,,,10.34,11.24,,
San Bernardino,9.711,10.14,10.33,10.73,10.0205,10.435
San Diego,12.85,12.54,12.58,12.24,12.715,12.39
San Francisco,8.063,7.299,11.82,10.32,9.941500000000001,8.8095
San Joaquin,10.74,11.16,9.971,10.21,10.3555,10.685
San Luis Obispo,17.76,16.04,19.24,16.44,18.5,16.240000000000002
San Mateo,7.704,7.099,7.714,7.303,7.709,7.2010000000000005
Santa Barbara,11.41,11.08,13.31,12.79,12.36,11.934999999999999
Santa Clara,8.04,7.737,7.52,7.203,7.779999999999999,7.470000000000001
Santa Cruz,14.82,14.59,16.4,15.74,15.61,15.165
Shasta,24.07,21.94,25.22,23.37,24.645,22.655
Sierra,,,,,,
Siskiyou,25.37,23.92,24.02,19.91,24.695,21.915
Solano,11.79,11.17,11.36,11.05,11.575,11.11
Sonoma,13.22,11.79,13.55,12.19,13.385000000000002,11.989999999999998
Stanislaus,10.3,10.54,10.09,10.16,10.195,10.35
Sutter,16.57,16.17,14.25,13.87,15.41,15.02
Tehama,17.77,15.42,17.67,19.22,17.72,17.32
Trinity,,,39.51,43.87,,
Tulare,9.577,10.26,10.54,11.16,10.058499999999999,10.71
Tuolumne,15.79,14.2,25.77,18.87,20.78,16.535
Ventura,11.55,11.18,11.23,10.53,11.39,10.855
Yolo,8.18,8.515,12.16,12.47,10.17,10.4925
Yuba,15.24,15.37,17.93,18.75,16.585,17.06
